Date/Time,Address,Location,Call Type,Description,Incident Number,Duration
6/29/15 4:59,3200 BLK 9 ST W,West Fargo,Loud Party/People,LOUD PARTY,2015-00010761,0:29:29
6/29/15 1:00,1700 BLK 40 ST S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00044087,0:44:24
6/29/15 0:06,4900 BLK 47 ST S,Fargo,Loud Party/People,LOUD MUSIC AND REVVING ENIGINES,2015-00044071,0:12:37
6/28/15 22:01,4900 BLK 51 ST S,Fargo,Loud Party/People,30 PEOPLE IN FRONT OF A HOUSE BEING LOUD,2015-00044047,0:34:41
6/28/15 21:09,1400 BLK 9 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00017876,0:55:59
6/28/15 2:56,3200 BLK 22 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00043877,1:08:35
6/28/15 1:51,2200 BLK 12 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00043854,0:35:31
6/28/15 0:47,5800 BLK 56 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00043830,0:19:37
6/28/15 0:38,2500 BLK 14 ST S,Fargo,Loud Party/People,LOUD RUNNING AND JUMPING NOISES,2015-00043845,1:09:32
6/27/15 22:58,5900 BLK 57 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00043793,1:11:54
6/27/15 19:25,2100 BLK 17 ST S,Fargo,Loud Party/People,LOUD CHILDREN RUNNING IN HALLS,2015-00043759,0:50:52
6/27/15 2:51,2400 BLK 36 ST S,Moorhead,Loud Party/People,LOUD PARTY,Multiple incidents,0:45:37
6/27/15 2:19,100 BLK 14 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00043610,1:28:03
6/27/15 1:47,4400 BLK 23 AVE S,Fargo,Loud Party/People,LOUD UNWANTED PEOPLE,2015-00043599,1:35:27
6/26/15 22:57,2800 BLK 7 ST W,West Fargo,Loud Party/People,LOUD PARTY,2015-00010616,0:42:41
6/26/15 22:39,1800 BLK 39 ST S,Fargo,Loud Party/People,LOUD JUMPING NOISES,2015-00043534,0:15:40
6/26/15 21:06,4200 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00043518,0:16:52
6/26/15 4:17,1400 BLK 11 ST N,Fargo,Loud Party/People,YELLING FS,2015-00043338,0:32:08
6/25/15 22:57,900 BLK COUNTRYSIDE TRAILER CT S,Fargo,Loud Party/People,LOUD PARTY,2015-00043244,1:09:46
6/25/15 2:49,2600 BLK 14 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00043009,0:17:59
6/25/15 1:15,3000 BLK 7 ST W,West Fargo,Loud Party/People,LOUD MUSIC IN THE GARAGE,2015-00010479,0:16:36
6/24/15 0:39,500 BLK CENTER AVE E,Dilworth,Loud Party/People,LOUD PARTY,Multiple incidents,0:44:34
6/23/15 2:09,900 BLK 24 AVE S,Moorhead,Loud Party/People,1056,2015-00017336,0:52:17
6/22/15 23:43,400 BLK MORRISON ST,West Fargo,Loud Party/People,LOUD PPL,2015-00010311,0:15:03
6/22/15 22:33,2500 BLK 15 ST S,Fargo,Loud Party/People,LOUD PERSON,2015-00042450,0:47:08
6/22/15 20:38,3400 BLK 33 ST S,Fargo,Loud Party/People,LOUD PARTY/MUSIC,2015-00042439,1:22:37
6/21/15 23:33,4900 BLK CO RD 31 N,Fargo,Loud Party/People,CHECK ON PEOPLE DOWN BY THE RAVINE,2015-00008728,0:58:09
6/21/15 23:30,2900 BLK BLUESTEM DR,West Fargo,Loud Party/People,LOUD PARTY,2015-00010238,0:32:16
6/21/15 20:02,100 BLK MAPLE ST N,Fargo,Loud Party/People,LOUD PARTY/MUSIC IN SHELTER,2015-00042152,1:11:51
6/21/15 2:57,800 BLK 33 AVE N,Fargo,Loud Party/People,LOUD PEOPLE,2015-00042004,1:19:14
6/21/15 2:33,600 BLK 11 ST N,Moorhead,Loud Party/People,LOUD GROUP,2015-00004724,0:57:39
6/21/15 1:40,20900 BLK HWY 34 S,Barnesville,Loud Party/People,PARTY,2015-00004720,0:40:22
6/21/15 1:38,300 BLK 7 AVE S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00041981,0:25:12
6/21/15 0:26,1100 BLK 19 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00041956,1:01:25
6/20/15 22:43,2500 BLK AMBER VALLEY CT S,Fargo,Loud Party/People,LOUD PARTY,2015-00041928,0:50:53
6/20/15 22:13,4900 BLK 44 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00041916,1:05:15
6/20/15 20:03,1900 BLK 5 AVE S,Moorhead,Loud Party/People,LOUD PARTY/BON FIRE,2015-00017132,2:12:35
6/20/15 4:02,3400 BLK 44 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00041753,2:43:16
6/20/15 1:55,2300 BLK SUNDANCE CIR S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00041717,2:14:41
6/20/15 1:41,1700 BLK 49 ST S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00041709,0:16:23
6/20/15 1:29,1800 BLK 39 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00041701,0:20:44
6/20/15 1:17,2500 BLK 15 ST S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00041697,0:22:28
6/20/15 0:36,1700 BLK 49 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00041679,0:25:15
6/20/15 0:14,4400 BLK 30 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00041672,0:19:58
6/19/15 23:29,200 BLK LANGER AVE N,Casselton,Loud Party/People,LOUD PARTY,2015-00008551,0:36:01
6/19/15 4:17,4300 BLK ESTATE DR S,Fargo,Loud Party/People,LOUD NEIGHBORS,2015-00041418,0:20:30
6/18/15 23:16,1900 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00041342,0:23:11
6/18/15 21:21,5300 BLK 30 AVE S,Fargo,Loud Party/People,F'S ARGUING,2015-00041308,0:16:59
6/18/15 2:34,200 BLK 8 AVE W,West Fargo,Loud Party/People,LOUD NOISE,2015-00009980,0:35:02
6/18/15 0:07,2500 BLK PACIFIC DR S,Fargo,Loud Party/People,LOUD PARTY,2015-00041065,0:44:45
6/16/15 1:20,800 BLK 1 ST,West Fargo,Loud Party/People,LOUD PEOPLE,2015-00009810,0:24:40
6/16/15 1:01,5000 BLK 44 AVE S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00040571,0:16:24
6/15/15 3:49,1000 BLK BROADWAY N,Fargo,Loud Party/People,LOUD PARTY,2015-00040301,0:36:36
6/15/15 2:22,200 BLK 7 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00016514,0:27:41
6/14/15 23:03,1400 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD TV,2015-00040234,0:26:37
6/14/15 3:41,1000 BLK 18 1/2 ST S,Moorhead,Loud Party/People,LOUD PARTY/PPL,2015-00016406,0:04:57
6/13/15 23:15,1400 BLK 17 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00040002,0:12:20
6/13/15 19:52,100 BLK 155 ST S,Glyndon,Loud Party/People,LOUD PEOPLE/1056,2015-00004459,0:05:13
6/13/15 18:47,3600 BLK 42 ST S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00039943,0:42:54
6/13/15 2:27,3200 BLK 22 ST S,Fargo,Loud Party/People,1056\\ PARTY,2015-00039813,1:02:45
6/13/15 1:46,1400 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00039812,1:19:54
6/13/15 1:06,4300 BLK 33 AVE S,Fargo,Loud Party/People,LOUD SKATEBOARDERS,2015-00039785,0:10:44
6/12/15 23:45,500 BLK CENTER AVE E,Dilworth,Loud Party/People,LOUD MUSIC,Multiple incidents,0:36:56
6/12/15 23:16,1700 BLK 25 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00039739,0:35:55
6/12/15 1:47,3300 BLK 35 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00039542,0:31:55
6/11/15 23:52,500 BLK 4 ST N,Fargo,Loud Party/People,LOUD PEOPLE IN ALLEY,2015-00039501,0:10:11
6/11/15 23:18,3300 BLK 12 ST S,Moorhead,Loud Party/People,LOUD PEOPLE,2015-00016172,0:18:25
6/11/15 22:51,3000 BLK 40 AVE S,Fargo,Loud Party/People,MINORS 1056,2015-00039485,0:44:39
6/11/15 22:04,3000 BLK 7 ST W,West Fargo,Loud Party/People,PARTY IN THE COURTYARD,2015-00009518,0:31:11
6/11/15 4:21,800 BLK 10 AVE N,Fargo,Loud Party/People,LOUD PEOPLE,2015-00039278,0:35:39
6/10/15 23:31,1100 BLK BELSLY BLVD,Moorhead,Loud Party/People,LOUD PARTY,2015-00016065,0:31:58
6/10/15 22:06,1800 BLK BELSLY BLVD,Moorhead,Loud Party/People,POSS LOUD PARTY,2015-00016058,0:25:59
6/9/15 23:21,300 BLK 7 AVE S,Fargo,Loud Party/People,LOUD PPL,2015-00038962,0:50:45
6/9/15 22:51,1000 BLK 10 AVE N,Fargo,Loud Party/People,LOUD PARTY,2015-00038970,1:20:11
6/7/15 22:57,800 BLK KROSHUS DR,Dilworth,Loud Party/People,LOUD POOL PARTY,2015-00003424,0:40:45
6/7/15 22:18,1000 BLK 32 AVE W,West Fargo,Loud Party/People,LOUD PEOPLE/MUSIC,2015-00009225,0:38:43
6/7/15 22:13,1000 BLK 32 AVE W,West Fargo,Loud Party/People,LOUD MUSIC/PARTY,,0:06:49
6/7/15 21:31,2200 BLK 173 AVE SE,Argusville,Loud Party/People,LOUD PARTY,2015-00007940,0:37:24
6/7/15 21:14,2000 BLK 5 AVE S,Fargo,Loud Party/People,LOUD PEOPLE,,0:15:58
6/7/15 21:07,1000 BLK 32 AVE W,West Fargo,Loud Party/People,LOUD PEOPLE,2015-00009218,0:58:09
6/7/15 19:59,1900 BLK ROGER MARIS DR S,Fargo,Loud Party/People,LOUD PARTY/NOISE,,0:51:15
6/7/15 2:25,3300 BLK 5 ST W,West Fargo,Loud Party/People,LOUD PARTY,2015-00009182,0:46:14
6/7/15 0:11,3100 BLK 33 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00038164,0:26:53
6/6/15 23:44,3100 BLK 33 ST S,Fargo,Loud Party/People,LOUD PARTY,,0:04:42
6/6/15 23:14,1800 BLK 7 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00038146,1:03:05
6/6/15 23:06,200 BLK SETER CIR SE,Glyndon,Loud Party/People,LOUD PARTY IN GARAGE,Multiple incidents,0:17:29
6/6/15 5:35,2200 BLK 6 AVE S,Fargo,Loud Party/People,CAN HEAR YELLING,2015-00037955,0:25:14
6/6/15 3:44,1900 BLK 19 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00037944,0:35:28
6/6/15 3:27,2500 BLK COUNTRY CLUB PKWY,Moorhead,Loud Party/People,LOUD PARTY,2015-00015553,0:15:21
6/6/15 0:41,1000 BLK UNIVERSITY DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00037898,0:30:59
6/6/15 0:08,700 BLK 6 AVE SE,Barnesville,Loud Party/People,LOUD PPL/PARTY,2015-00000737,0:20:29
6/5/15 23:22,100 BLK 6 AVE S,Casselton,Loud Party/People,LOUD PEOPLE,2015-00007834,1:29:43
6/5/15 22:46,900 BLK 41 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00015520,0:30:22
6/5/15 4:47,4900 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,LOUD PPL IN GARAGE,2015-00037637,0:24:25
6/5/15 2:13,1300 BLK 14 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00037623,0:39:32
6/4/15 18:20,1000 BLK BROADWAY N,Fargo,Loud Party/People,LOUD PEOPLE,2015-00037497,0:29:38
6/4/15 2:02,2500 BLK 9 ST N,Fargo,Loud Party/People,LOUD PEOPLE,2015-00037315,1:35:19
6/2/15 21:24,300 BLK MAPLE DR,Mapleton,Loud Party/People,LOUD PARTY,2015-00007696,0:44:51
6/1/15 22:06,2800 BLK 4 AVE N,Moorhead,Loud Party/People,LOUD PARTY,2015-00015110,0:20:32
6/1/15 2:01,3300 BLK 13 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00036460,0:55:45
5/31/15 22:34,2900 BLK 7 ST W,West Fargo,Loud Party/People,LOUD PEOPLE,2015-00008782,0:41:42
5/31/15 21:32,900 BLK 41 AVE W,West Fargo,Loud Party/People,LOUD PARTY,,0:02:38
5/31/15 21:07,100 BLK MAPLE ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00036374,0:23:44
5/31/15 1:34,2200 BLK 8 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00014933,0:18:13
5/30/15 23:05,900 BLK 26 ST N,Fargo,Loud Party/People,PARTY,2015-00036146,0:46:21
5/30/15 7:17,100 BLK 2 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00035983,0:32:46
5/30/15 3:08,0 BLK 4 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00035975,1:30:46
5/30/15 2:47,5300 BLK 33 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00035962,0:28:23
5/29/15 22:52,700 BLK OAK ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00035919,1:51:21
5/29/15 3:53,800 BLK 10 ST N,Fargo,Loud Party/People,LOUD PEOPLE,2015-00035680,0:19:54
5/29/15 3:21,1100 BLK 22 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00035678,0:56:53
5/29/15 2:55,1600 BLK 33 AVE S,Fargo,Loud Party/People,LOUD PARTY,,0:05:29
5/28/15 5:26,1000 BLK BROADWAY N,Fargo,Loud Party/People,LOUD PARTY,2015-00035413,1:50:36
5/28/15 2:03,1200 BLK 6 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00014561,0:13:54
5/27/15 2:14,1000 BLK UNIVERSITY DR N,Fargo,Loud Party/People,LOUD PARTY W/ BONFIRE,2015-00035104,0:33:06
5/27/15 2:07,500 BLK 4 ST N,Fargo,Loud Party/People,LOUD PEOPLE,2015-00035103,0:08:21
5/25/15 21:57,800 BLK 34 AVE E,West Fargo,Loud Party/People,LOUD PARTY/PEOPLE,2015-00008371,0:43:25
5/25/15 1:20,1500 BLK 30 AVE S,Fargo,Loud Party/People,LOUD PARTY MINORS,2015-00034601,2:10:09
5/24/15 23:38,19 ST N,Moorhead,Loud Party/People,LOUD PARTY,2015-00014247,0:17:23
5/24/15 23:36,900 BLK 26 ST N,Fargo,Loud Party/People,LOUD PEOPLE,2015-00034587,0:47:12
5/24/15 23:22,900 BLK 6 AVE N,Moorhead,Loud Party/People,LOUD PARTY,2015-00014244,0:13:22
5/24/15 22:56,1100 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00034563,0:33:41
5/24/15 22:37,900 BLK COUNTRYSIDE TRAILER CT S,Fargo,Loud Party/People,LOUD PARTY,2015-00034582,1:29:47
5/24/15 22:14,1800 BLK 39 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00034551,0:23:03
5/24/15 2:29,1100 BLK 13 ST N,Moorhead,Loud Party/People,LOUD PARTY,2015-00014171,0:46:22
5/24/15 2:13,5400 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,2 CARS WITH LOUD MUSIC,,0:04:13
5/24/15 0:23,12400 BLK 250 ST N,Ulen,Loud Party/People,LOUD PARTY,2015-00003855,2:47:22
5/24/15 0:10,700 BLK 11 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00034330,0:21:50
5/24/15 0:04,3500 BLK 5 ST W,West Fargo,Loud Party/People,LOUD PEOPLE AND MUSIC,2015-00008243,0:23:18
5/23/15 22:37,3600 BLK 42 ST S,Fargo,Loud Party/People,PEOPLE BEING LOUD/POSSIBLY A PARTY,2015-00034287,0:19:49
5/23/15 22:17,3500 BLK 5 ST W,West Fargo,Loud Party/People,LOUD PARTY ON BALCONY,2015-00008226,0:18:46
5/23/15 22:07,4200 BLK ESTATE DR S,Fargo,Loud Party/People,PEOPLE BEING LOUD,2015-00034283,0:14:33
5/23/15 18:10,500 BLK 16 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00014117,0:23:05
5/23/15 3:09,4900 BLK 16 AVE S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00034098,0:27:11
5/23/15 1:24,4200 BLK 9 AVENUE CIR S,Fargo,Loud Party/People,LOUD PARTY IN GARAGE,2015-00034059,0:15:57
5/23/15 1:12,500 BLK 10 ST,Hawley,Loud Party/People,LOUD PARTY,,2:01:34
5/23/15 0:59,4200 BLK 9 AVENUE CIR S,Fargo,Loud Party/People,LOUD PARTY,,0:01:53
5/23/15 0:47,1300 BLK COSSETTE DR,Fargo,Loud Party/People,LOUD PARTY,2015-00007086,3:46:15
5/23/15 0:27,400 BLK SUNRISE CIR,Moorhead,Loud Party/People,LOUD PARTY,2015-00014048,0:13:24
5/22/15 22:44,1300 BLK 34 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00014039,0:05:14
5/22/15 0:58,500 BLK 12 ST N,Moorhead,Loud Party/People,LOUD PARTY,2015-00013881,0:20:18
5/22/15 0:53,1700 BLK 49 ST S,Fargo,Loud Party/People,LOUD PERSON,2015-00033719,0:17:07
5/22/15 0:11,1100 BLK 18 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00033700,0:40:24
5/21/15 23:56,1000 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY/BONFIRE,2015-00033692,0:28:31
5/21/15 20:38,2900 BLK HEATHERWOOD CIR S,Moorhead,Loud Party/People,LOUD PEOPLE/MUSIC,2015-00013864,0:19:43
5/20/15 1:49,400 BLK UNIVERSITY DR S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00033200,1:56:13
5/20/15 0:02,700 BLK 51 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00033173,0:24:41
5/19/15 22:54,1200 BLK 11 1/2 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00033158,0:45:05
5/19/15 3:39,1300 BLK 1 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00032951,0:16:34
5/18/15 22:51,1000 BLK 18 ST N,Fargo,Loud Party/People,LOUD PARTY/MUSIC,2015-00032883,0:32:34
5/18/15 1:44,1600 BLK 11 AVE N,Fargo,Loud Party/People,LOUD PARTY,2015-00032691,0:18:06
5/17/15 22:51,600 BLK COUNTRYSIDE TRAILER CT S,Fargo,Loud Party/People,LOUD PARTY,,0:03:26
5/17/15 22:51,2500 BLK VILLA DR S,Fargo,Loud Party/People,LOUD PARTY,2015-00032672,1:04:01
5/17/15 22:21,600 BLK COUNTRYSIDE TRAILER CT S,Fargo,Loud Party/People,LOUD PARTY,2015-00032667,0:54:16
5/17/15 20:55,900 BLK UNIVERSITY DR N,Fargo,Loud Party/People,LOUD MUSIC,2015-00032650,1:12:04
5/17/15 4:00,1100 BLK 18 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00032534,0:25:34
5/17/15 1:50,1400 BLK BROADWAY N,Fargo,Loud Party/People,PARTY,2015-00032531,2:12:38
5/17/15 1:49,900 BLK UNIVERSITY DR N,Fargo,Loud Party/People,LOUD PEOPLE,,1:18:04
5/17/15 1:12,9 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00032526,2:16:12
5/17/15 0:22,1300 BLK BELSLY BLVD,Moorhead,Loud Party/People,LOUD PARTY,2015-00013311,0:15:18
5/16/15 23:39,3300 BLK 32 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00032475,0:42:27
5/16/15 23:38,3800 BLK RIVER DR S,Fargo,Loud Party/People,LOUD PARTY,2015-00032466,0:36:59
5/16/15 23:27,1600 BLK 8 ST S,Moorhead,Loud Party/People,LOUD PARTY / FIREWORKS,2015-00013305,0:25:35
5/16/15 22:41,2500 BLK 15 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00032453,1:15:00
5/16/15 2:45,4600 BLK SAN JUAN DR S,Fargo,Loud Party/People,LOUD PARTY,2015-00032289,1:37:49
5/16/15 2:26,1300 BLK UNIVERSITY DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00032288,0:58:06
5/16/15 1:41,100 BLK 3 ST SE,Ulen,Loud Party/People,LOUD NEIGHBORS,2015-00003563,0:53:16
5/15/15 23:26,1800 BLK 40 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00032222,0:35:21
5/15/15 22:12,1700 BLK 40 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00032203,0:26:58
5/15/15 21:26,6600 BLK 7 ST SW,Moorhead,Loud Party/People,PARTY,2015-00003551,0:57:14
5/15/15 0:33,3300 BLK 31 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00013069,0:10:31
5/15/15 0:04,1800 BLK 39 ST S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00031986,0:16:51
5/15/15 0:03,1100 BLK 19 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00013064,0:20:35
5/14/15 23:32,1100 BLK 19 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00013062,0:23:37
5/14/15 22:25,1400 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00031955,0:07:51
5/14/15 2:07,3400 BLK 8 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00012965,1:12:30
5/13/15 22:49,1100 BLK 18 1/2 ST S,Moorhead,Loud Party/People,LOUD MUSIC/PPL,2015-00012956,0:15:12
5/13/15 13:58,900 BLK 7 AVE N,Moorhead,Loud Party/People,LOUD MUSIC,2015-00012911,0:13:29
5/12/15 22:32,4200 BLK 9 AVE S,Fargo,Loud Party/People,LOUD PEOPLE,,0:02:44
5/11/15 0:02,400 BLK 4 ST N,Fargo,Loud Party/People,LOUD MUSIC,Multiple incidents,4:05:24
5/10/15 22:22,1000 BLK BROADWAY N,Fargo,Loud Party/People,LOUD PARTY,2015-00031008,0:17:25
5/10/15 2:09,1800 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD MUSIC/PARTY,2015-00030891,0:24:15
5/10/15 0:59,1200 BLK 9 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00030859,0:18:53
5/10/15 0:43,300 BLK 25 ST S,Fargo,Loud Party/People,LOUD PARTY,Multiple incidents,0:27:49
5/10/15 0:40,500 BLK 4 AVE NW,West Fargo,Loud Party/People,LOUD PARTY,2015-00007336,0:49:54
5/9/15 23:29,1200 BLK 11 AVE N,Fargo,Loud Party/People,LOUD PARTY,,0:02:50
5/9/15 23:22,800 BLK 2 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00030853,1:39:23
5/9/15 23:08,1300 BLK MAIN ST,Hawley,Loud Party/People,LOUD PARTY,2015-00000745,0:41:54
5/9/15 23:00,2900 BLK 80 AVE N,Moorhead,Loud Party/People,1096 / 1056,2015-00003375,0:16:02
5/9/15 22:59,2900 BLK 80 AVE N,Moorhead,Loud Party/People,LOUD PARTY,,0:01:13
5/9/15 22:41,1200 BLK 6 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00012585,0:25:06
5/9/15 5:57,2600 BLK PACIFIC DR S,Fargo,Loud Party/People,LOUD PARTY,2015-00030669,0:29:13
5/9/15 2:01,1900 BLK UNIVERSITY DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00030623,0:41:14
5/9/15 2:01,1300 BLK 11 ST N,Fargo,Loud Party/People,LOUD PARTY\\F CRYING,2015-00030615,0:29:17
5/9/15 1:47,1000 BLK 9 AVE N,Fargo,Loud Party/People,LOUD PARTY,2015-00030612,0:57:57
5/9/15 1:02,1800 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00030597,0:23:16
5/8/15 22:17,1200 BLK 27 AVE S,Moorhead,Loud Party/People,LOUD PPL,2015-00012492,0:26:18
5/8/15 19:08,1100 BLK 19 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00030507,1:04:37
5/8/15 3:43,11 AVE N,Fargo,Loud Party/People,LOUD PARTY,,0:01:26
5/6/15 23:58,600 BLK 11 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00030137,1:53:34
5/6/15 23:49,900 BLK 1 ST,West Fargo,Loud Party/People,LOUD PPL/SURROUND SOUND,2015-00007133,0:19:07
5/6/15 22:20,2600 BLK 15 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00030101,0:28:03
5/6/15 20:55,4400 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00030091,0:25:38
5/6/15 3:16,900 BLK 41 AVE W,West Fargo,Loud Party/People,LOUD PARTY,2015-00007082,0:25:05
5/6/15 2:28,4700 BLK 16 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00029946,0:47:38
5/6/15 1:11,2500 BLK VILLA DR S,Fargo,Loud Party/People,LOUD PPL,2015-00029932,0:32:39
5/5/15 23:01,1800 BLK 39 ST S,Fargo,Loud Party/People,LOUD PPL,,0:18:29
5/5/15 22:27,1800 BLK 40 ST S,Fargo,Loud Party/People,PPL BEING LOUD,2015-00029881,0:20:59
5/5/15 21:37,1600 BLK 4 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00012196,2:21:35
5/5/15 3:58,900 BLK 44 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00029685,0:31:27
5/4/15 23:53,1000 BLK 16 ST N,Moorhead,Loud Party/People,LOUD PPL,2015-00012090,0:21:50
5/3/15 21:40,2600 BLK 36 AVE S,Fargo,Loud Party/People,LOUD PARTY,,0:05:13
5/3/15 21:21,2600 BLK 36 AVE S,Fargo,Loud Party/People,LOUD PARTY,,0:23:39
5/3/15 20:54,2600 BLK 36 AVE S,Fargo,Loud Party/People,100 PPL/LOUD PARTY,2015-00029368,2:29:01
5/3/15 3:47,1800 BLK 14 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00029222,0:51:10
5/3/15 3:05,2600 BLK FAIRWAY DR,Moorhead,Loud Party/People,LOUD PEOPLE,2015-00011918,0:22:30
5/3/15 2:10,100 BLK 10 ST N,Moorhead,Loud Party/People,LOUD PARTY,,0:04:27
5/3/15 1:41,1100 BLK 18 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00003171,0:23:29
5/3/15 1:13,1100 BLK 18 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00011905,0:09:11
5/3/15 1:02,1200 BLK JETVIG BLVD,Hawley,Loud Party/People,LOUD PARTY,Multiple incidents,1:50:36
5/3/15 0:52,1200 BLK 11 1/2 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00029210,2:20:24
5/3/15 0:31,800 BLK 9 ST,Hawley,Loud Party/People,LOUD PEOPLE,2015-00000695,0:08:34
5/2/15 23:36,1500 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00029190,1:36:26
5/2/15 23:22,900 BLK 17 ST N,Fargo,Loud Party/People,LOUD PARTY / 1021,2015-00029188,1:54:56
5/2/15 23:13,4200 BLK 9 AVENUE CIR S,Fargo,Loud Party/People,LOUD PARTY,2015-00029160,0:17:10
5/2/15 23:05,700 BLK COLLEGE ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00029184,1:44:30
5/2/15 22:54,1200 BLK 11 1/2 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00029157,0:23:06
5/2/15 22:01,1500 BLK 48 ST S,Fargo,Loud Party/People,LOUD MUSIC,2015-00029144,0:36:11
5/2/15 21:40,1100 BLK 35 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00029131,0:16:21
5/2/15 20:21,1000 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00029143,2:36:23
