Date/Time,Address,Location,Call Type,Description,Incident Number,Duration
3/13/15 22:30,300 BLK 5 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00016327,0:10:25
3/13/15 22:08,4900 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00016323,0:24:55
3/13/15 3:11,1500 BLK 35 ST S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00016151,0:14:25
3/13/15 1:13,1000 BLK 14 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00016124,0:32:00
3/12/15 23:54,1800 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00016104,1:05:35
3/12/15 20:26,1300 BLK 12 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00006639,0:34:44
3/12/15 2:46,3800 BLK 10 ST N,Fargo,Loud Party/People,LOUD MUSIC,2015-00015862,0:32:09
3/11/15 22:29,4600 BLK 33 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00015788,0:21:26
3/9/15 23:48,5000 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00015345,1:28:41
3/9/15 2:50,4900 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00015121,0:22:52
3/8/15 19:56,0 BLK BROADWAY S,Fargo,Loud Party/People,LOUD PARTY,,0:55:38
3/8/15 6:00,0 BLK MAYFAIR DR,Moorhead,Loud Party/People,LOUD PARTY,2015-00006123,0:24:34
3/8/15 4:06,2700 BLK 9 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00014926,1:44:26
3/8/15 3:46,900 BLK 15 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00014917,0:30:00
3/8/15 3:39,5100 BLK 44 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00014927,1:30:16
3/8/15 1:54,2700 BLK 36 ST S,Moorhead,Loud Party/People,LOUD PEOPLE,2015-00006116,1:51:26
3/8/15 1:51,2000 BLK 7 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00006113,1:39:44
3/8/15 1:32,1000 BLK 15 ST N,Fargo,Loud Party/People,LOUD 10-56 PEOPLE,2015-00014913,2:05:28
3/7/15 23:34,100 BLK ROBERTS ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00014870,0:47:14
3/7/15 23:32,5300 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,LOUD PARTY,2015-00014858,0:13:17
3/7/15 21:43,4900 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00014823,0:32:13
3/7/15 1:49,0 BLK 8 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00014638,0:25:01
3/4/15 22:06,1600 BLK EAST GATEWAY CIR S,Fargo,Loud Party/People,LOUD PARTY,2015-00014030,0:25:02
3/3/15 4:02,3300 BLK 17 ST S,Fargo,Loud Party/People,LOUD PERSON,2015-00013633,0:19:55
3/3/15 2:49,2500 BLK 14 ST S,Fargo,Loud Party/People,LOUD PPL,2015-00013630,1:03:16
3/2/15 1:17,4900 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00013389,0:25:44
3/1/15 22:30,3400 BLK 42 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00013351,0:18:25
