"Address","Number","Lon","Lat"
"200 5 ST E WEST FARGO, ND",1,-96.8910961,46.8736359
"200 6 AVE S CASSELTON, ND",1,-97.2131395,46.8993709
"200 7 AVE S MOORHEAD, MN",1,-96.7765292,46.8672508
"200 9 AVE N CASSELTON, ND",1,-97.2079533,46.9024363
"200 LANGER AVE N CASSELTON, ND",1,-97.2111239,46.9026596
"200 LANGER AVE S CASSELTON, ND",1,-97.2116277,46.898601
"200 PARK DR HORACE, ND",1,-96.9055937,46.7569848
"200 PRAIRIEWOOD DR S FARGO, ND",1,-96.833631,46.852849
"200 SETER CIR SE GLYNDON, MN",1,-96.5777743,46.8666564
"2000 23 ST S FARGO, ND",1,-96.8133878,46.8488428
"2000 5 AVE S FARGO, ND",1,-96.8132115,46.869773
"2000 ROSE CREEK BLVD S FARGO, ND",1,-96.8117356,46.8048665
"20900 HWY 34 S BARNESVILLE, MN",1,-96.3654437,46.6597806
"2100 17 ST S FARGO, ND",1,-96.8083701,46.8469678
"2200 12 AVE S FARGO, ND",1,-96.8155647,46.8631125
"2200 173 AVE SE ARGUSVILLE, MN",1,-96.8366556,47.0920002
"2200 33 AVE S FARGO, ND",1,-96.8154247,46.8305866
"2200 4 AVE S MOORHEAD, MN",1,-96.742726,46.871278
"2200 57 AVE S FARGO, ND",1,-96.8149384,46.7963106
"2200 6 AVE S FARGO, ND",1,-96.8155465,46.8687373
"2200 8 ST S MOORHEAD, MN",1,-96.7680211,46.8538099
"2200 9 AVE S FARGO, ND",1,-96.8160124,46.8657498
"2300 11 ST S MOORHEAD, MN",1,-96.7628028,46.8522522
"2300 15 ST S FARGO, ND",1,-96.8036782,46.8451989
"2300 18 ST S FARGO, ND",1,-96.8159723,46.8445916
"2300 SUNDANCE CIR S FARGO, ND",1,-96.8148413,46.8494367
"2400 30 1/2 AVE S FARGO, ND",1,-96.8186774,46.8345676
"2500 10 ST N FARGO, ND",1,-96.7934564,46.9098861
"2500 36 AVE S FARGO, ND",1,-96.8604109,46.8256138
"2500 55 AVE S FARGO, ND",1,-96.8200588,46.7986587
"2500 6 AVE N MOORHEAD, MN",1,-96.7396676,46.8815357
"2500 AMBER VALLEY CT S FARGO, ND",1,-96.8758037,46.8418921
"2500 PACIFIC DR S FARGO, ND",1,-96.8075806,46.8412451
"2600 35 AVE S FARGO, ND",1,-96.8209087,46.8275036
"2600 55 AVE S FARGO, ND",1,-96.8209996,46.7985656
"2600 56 AVE S FARGO, ND",1,-96.8201691,46.7977762
"2600 57 AVE S FARGO, ND",1,-96.820824,46.7967796
"2600 FAIRWAY DR MOORHEAD, MN",1,-96.7666507,46.9020436
"2700 36 AVE S FARGO, ND",1,-96.824408,46.8240816
"2700 47 ST S FARGO, ND",1,-96.8652362,46.8386522
"2700 9 ST N FARGO, ND",1,-96.7910387,46.9114485
"2800 22 ST S FARGO, ND",1,-96.814939,46.8374801
"2800 4 AVE N MOORHEAD, MN",1,-96.735815,46.8794663
"2800 9 ST N FARGO, ND",1,-96.7910373,46.9120579
"2800 UMBER CT S FARGO, ND",1,-96.8544043,46.8378696
"2900 17 ST S MOORHEAD, MN",1,-96.7512156,46.8457195
"2900 7 AVE N FARGO, ND",1,-96.8253465,46.8832274
"2900 HEATHERWOOD CIR S MOORHEAD, MN",1,-96.746152,46.8456417
"3 AVE E WEST FARGO, ND",1,-96.8828409,46.8735499
"300 11 ST N FARGO, ND",1,-96.7955323,46.8794616
"300 19 ST N FARGO, ND",1,-96.8107652,46.8795011
"300 2 ST NE DILWORTH, MN",1,-96.7004134,46.8795674
"300 22 AVE S MOORHEAD, MN",1,-96.7753742,46.8533174
"300 25 ST S FARGO, ND",1,-96.818976,46.8727252
"300 4 AVE W WEST FARGO, ND",1,-96.9040283,46.8728192
"300 5 ST N FARGO, ND",1,-96.7862056,46.8790515
"300 7 ST S MOORHEAD, MN",1,-96.7693725,46.8716901
"300 EDDY CT S FARGO, ND",1,-96.7998969,46.8718497
"300 MAPLE DR MAPLETON, ND",1,-97.0491116,46.888212
"300 PLUM TREE RD HICKSON, MN",1,-96.813187,46.6767331
"3000 17 ST S MOORHEAD, MN",1,-96.7515449,46.8438242
"3000 23 AVE S FARGO, ND",1,-96.825952,46.8443255
"3000 23 ST S FARGO, ND",1,-96.8173382,46.8345796
"3000 32 ST S FARGO, ND",1,-96.8303767,46.8369221
"3000 34 AVE S FARGO, ND",1,-96.8278139,46.829062
"3000 40 AVE S FARGO, ND",1,-96.8268684,46.818039
"3000 DAKOTA PARK CIR S FARGO, ND",1,-96.8279707,46.8281994
"3100 23 AVE S FARGO, ND",1,-96.8264338,46.8444416
"3100 27 ST S MOORHEAD, MN",1,-96.7347911,46.85563
"3100 32 ST S FARGO, ND",1,-96.8304421,46.8348679
"3100 35 AVE S FARGO, ND",1,-96.8298239,46.8272016
"3100 5 ST S MOORHEAD, MN",1,-96.7717772,46.8436653
"3100 6 ST E WEST FARGO, ND",1,-96.8888573,46.8357553
"3200 20 ST S FARGO, ND",1,-96.8119892,46.8322133
"3300 13 AVE S FARGO, ND",1,-96.8324899,46.8614976
"3300 16 AVE S FARGO, ND",1,-96.833294,46.8556071
"3300 17 AVE S FARGO, ND",1,-96.8330375,46.8542745
"3300 18 ST S FARGO, ND",1,-96.8101615,46.8305322
"3300 32 ST S FARGO, ND",1,-96.8303992,46.8304742
"3300 35 AVE S FARGO, ND",1,-96.832801,46.8271765
"3300 42 ST S FARGO, ND",1,-96.851365,46.831503
"3300 BROADWAY N FARGO, ND",1,-96.7870508,46.9205297
"3400 10 ST S MOORHEAD, MN",1,-96.7631232,46.8392282
"3400 30 AVE S FARGO, ND",1,-96.8358355,46.8369231
"3400 33 ST S FARGO, ND",1,-96.8328106,46.8289474
"3400 44 AVE S FARGO, ND",1,-96.8343097,46.813811
"3400 5 ST W WEST FARGO, ND",1,-96.9077933,46.8294729
"3400 8 AVE S MOORHEAD, MN",1,-96.7679249,46.8403535
"3400 RIVER DR S FARGO, ND",1,-96.7952666,46.828692
"3500 10 AVE S MOORHEAD, MN",1,-96.7232876,46.8637902
"3500 2 ST N FARGO, ND",1,-96.7794606,46.9225095
"3500 28 AVE S FARGO, ND",1,-96.8354431,46.8401529
"3500 42 ST S FARGO, ND",1,-96.8504266,46.8272096
"3500 47 ST S FARGO, ND",1,-96.8671751,46.8266807
"3500 8 AVE S MOORHEAD, MN",1,-96.7249827,46.8664341
"3500 POLK ST S FARGO, ND",1,-96.8536091,46.8270542
"3700 25 ST S FARGO, ND",1,-96.8194915,46.8225381
"38 AVE S FARGO, ND",1,-96.8238646,46.8212581
"3800 10 ST N FARGO, ND",1,-96.7939937,46.9294504
"3800 2 ST E WEST FARGO, ND",1,-96.8976519,46.8225483
"3800 21 ST S FARGO, ND",1,-96.8154634,46.8211752
"3900 10 ST N FARGO, ND",1,-96.7940092,46.931521
"400 1 AVE NW DILWORTH, MN",1,-96.7088767,46.8774887
"400 10 AVE S MOORHEAD, MN",1,-96.7736172,46.8640975
"400 10 ST S MOORHEAD, MN",1,-96.7648034,46.8706283
"400 22 ST E WEST FARGO, ND",1,-96.863377,46.872355
"400 7 AVE S FARGO, ND",1,-96.7857687,46.8675784
"400 7 ST S MOORHEAD, MN",1,-96.7694033,46.8706591
"400 BROOK AVE MOORHEAD, MN",1,-96.7752461,46.84629
"400 ELMWOOD AVE S FARGO, ND",1,-96.7847778,46.8570713
"400 MORRISON ST WEST FARGO, ND",1,-96.9055198,46.8728339
"400 OAK WAY MOORHEAD, MN",1,-96.780466,46.833361
"400 OAKLAND AVE S FARGO, ND",1,-96.7847677,46.8587855
"400 ROBERTS ST N FARGO, ND",1,-96.789275,46.880323
"400 SANTA CRUZ DR S FARGO, ND",1,-96.8561906,46.8730469
"400 SEQUOIA DR MAPLETON, ND",1,-97.0473721,46.887683
"400 SUNRISE CIR MOORHEAD, MN",1,-96.7400615,46.8792518
"400 UNIVERSITY DR S FARGO, ND",1,-96.7982891,46.8707565
"4100 18 AVE S FARGO, ND",1,-96.814903,46.8507045
"4100 19 AVE S FARGO, ND",1,-96.8495541,46.8497632
"4200 10 AVE S FARGO, ND",1,-96.8509937,46.8652754
"4200 19 ST S MOORHEAD, MN",1,-96.7519365,46.8513898
"4200 39 1/2 AVE S FARGO, ND",1,-96.8246454,46.8186277
"4200 52 ST S FARGO, ND",1,-96.8741979,46.816501
"4200 CLUBHOUSE DR S FARGO, ND",1,-96.887034,46.817755
"4200 ESTATE DR S FARGO, ND",1,-96.8735521,46.8163808
"4300 33 AVE S FARGO, ND",1,-96.8562268,46.8298863
"4300 9 AVENUE CIR S FARGO, ND",1,-96.8558033,46.868295
"4300 ESTATE DR S FARGO, ND",1,-96.8728555,46.8148043
"4400 23 AVE S FARGO, ND",1,-96.8589109,46.8440537
"4400 30 AVE S FARGO, ND",1,-96.8581671,46.8366532
"4400 31 AVE S FARGO, ND",1,-96.8604217,46.8345037
"4400 9 AVE S FARGO, ND",1,-96.8567839,46.8659775
"4400 CALICO DR S FARGO, ND",1,-96.8584818,46.8374689
"4500 16 AVE S FARGO, ND",1,-96.8620382,46.8564187
"4500 47 ST S FARGO, ND",1,-96.8668052,46.8120649
"4500 SUNRISE DR WEST FARGO, ND",1,-96.920285,46.814102
"4600 49 AVE S FARGO, ND",1,-96.8623611,46.8067502
"47 AVE E WEST FARGO, ND",1,-96.9080248,46.8105892
"4700 17 AVE S FARGO, ND",1,-96.8663748,46.8535883
"4700 WOODHAVEN DR S FARGO, ND",1,-96.8551591,46.8105469
"49 ST S FARGO, ND",1,-96.869978,46.8334394
"4900 15 AVE S FARGO, ND",1,-96.8689695,46.8591664
"4900 28 AVE S FARGO, ND",1,-96.8709401,46.8388435
"4900 AMBER VALLEY PKWY S FARGO, ND",1,-96.8704787,46.8412859
"4900 CO RD 31 N FARGO, ND",1,-96.8041788,46.9445565
"5 AVE S MOORHEAD, MN",1,-96.7637801,46.8692862
"500 1 AVE E WEST FARGO, ND",1,-96.8910243,46.8755407
"500 10 ST HAWLEY, MN",1,-96.3229774,46.8806514
"500 10 ST S FARGO, ND",1,-96.794762,46.8695144
"500 14 ST S FARGO, ND",1,-96.800847,46.869561
"500 16 ST S MOORHEAD, MN",1,-96.7544324,46.8692646
"500 17 ST S MOORHEAD, MN",1,-96.7531448,46.8692642
"500 2 AVE NW WEST FARGO, ND",1,-96.905038,46.878635
"500 31 AVE N FARGO, ND",1,-96.786006,46.9165972
"500 5 ST S MOORHEAD, MN",1,-96.7724018,46.8693126
"500 6 ST S MOORHEAD, MN",1,-96.7709275,46.8692462
"500 7 ST S MOORHEAD, MN",1,-96.7694318,46.869299
"5000 40 AVE S FARGO, ND",1,-96.8707065,46.8183783
"5000 44 AVE S FARGO, ND",1,-96.8707107,46.8138943
"5200 21 AVE S FARGO, ND",1,-96.8561242,46.8443629
"5200 44 AVE S FARGO, ND",1,-96.8743372,46.8136119
"5400 26 ST S FARGO, ND",1,-96.8200289,46.800881
"5400 274 ST S HAWLEY, MN",1,-96.2328504,46.8134893
"5400 33 AVE S FARGO, ND",1,-96.8790677,46.8296623
"5500 18 ST S FARGO, ND",1,-96.8089533,46.8007308
"5500 59 ST S FARGO, ND",1,-96.885682,46.798505
"5600 33 AVE S FARGO, ND",1,-96.8790677,46.8296623
"5800 55 AVE S FARGO, ND",1,-96.8420888,46.800197
"5800 56 AVE S FARGO, ND",1,-96.8866599,46.7975461
"5800 CO RD 31 N FARGO, ND",1,-96.8059733,46.9559053
"5900 24 ST S FARGO, ND",1,-96.8169979,46.7944641
"5900 57 AVE S FARGO, ND",1,-96.8864965,46.7966661
"5900 CO RD 31 N FARGO, ND",1,-96.8060042,46.957173
"600 1 AVE N FARGO, ND",1,-96.7876918,46.8769465
"600 10 ST N MOORHEAD, MN",1,-96.7642865,46.8813524
"600 11 ST N MOORHEAD, MN",1,-96.7625559,46.8813573
"600 11 ST S FARGO, ND",1,-96.795999,46.868722
"600 16 ST N MOORHEAD, MN",1,-96.7542784,46.8813441
"600 19 ST N MOORHEAD, MN",1,-96.7494843,46.8813404
"600 2 AVE E WEST FARGO, ND",1,-96.8886712,46.874437
"600 2 AVE NW DILWORTH, MN",1,-96.7116708,46.8784965
"600 2 AVE W WEST FARGO, ND",1,-96.9092483,46.8749209
"600 3 ST N FARGO, ND",1,-96.7832013,46.8821917
"600 3 ST S MOORHEAD, MN",1,-96.7750799,46.8682581
"600 4 AVE E WEST FARGO, ND",1,-96.8900085,46.8726382
"600 4 AVE N FARGO, ND",1,-96.7877081,46.8800961
"600 42 ST S FARGO, ND",1,-96.8507989,46.8695431
"600 5 AVE S MOORHEAD, MN",1,-96.7709316,46.8693114
"600 BIRCH LN MOORHEAD, MN",1,-96.7407448,46.8667849
"600 HACKBERRY DR S FARGO, ND",1,-96.7914123,46.8289599
"600 UNIVERSITY DR S FARGO, ND",1,-96.7982999,46.8686924
"6200 200 AVE N GEORGETOWN, MN",1,-96.6646199,47.1368195
"6200 24 ST S FARGO, ND",1,-96.8170091,46.7917137
"6200 58 AVE S FARGO, ND",1,-96.8130996,46.7956932
"6300 17 ST N FARGO, ND",1,-96.8074967,46.9613361
"6700 280 ST S HAWLEY, MN",1,-96.2187768,46.7952665
"7 AVE S MOORHEAD, MN",1,-96.7694831,46.8672084
"7 ST N FARGO, ND",1,-96.7891192,46.8975789
"700 1 AVE N MOORHEAD, MN",1,-96.7693155,46.8766741
"700 11 ST N FARGO, ND",1,-96.7955178,46.8831838
"700 12 AVE W WEST FARGO, ND",1,-96.9113867,46.8637466
"700 20 ST S FARGO, ND",1,-96.8141196,46.8224819
"700 21 ST S FARGO, ND",1,-96.8133039,46.8676807
"700 23 ST S FARGO, ND",1,-96.8171322,46.8677371
"700 3 ST N FARGO, ND",1,-96.7831979,46.883145
"700 30 ST N FARGO, ND",1,-96.8266515,46.8842209
"700 34 AVE W WEST FARGO, ND",1,-96.9126816,46.829353
"700 4 ST S MOORHEAD, MN",1,-96.7735988,46.8672075
"700 51 ST S FARGO, ND",1,-96.8708902,46.8692029
"700 6 AVE SE BARNESVILLE, MN",1,-96.4115701,46.6481105
"700 7 AVE N FARGO, ND",1,-96.7894506,46.8831463
"700 CENTER AVE W DILWORTH, MN",1,-96.7118155,46.8765928
"700 COLLEGE ST N FARGO, ND",1,-96.799969,46.883353
"700 ELM ST N FARGO, ND",1,-96.7771397,46.8831075
"700 MAIN AVE W WEST FARGO, ND",1,-96.9109104,46.8770178
"7000 58 AVE N HARWOOD, ND",1,-96.9057252,46.9559104
"7100 14 ST S FARGO, ND",1,-96.8007676,46.7807287
"7100 25 ST S FARGO, ND",1,-96.8193581,46.7807655
"7100 41 ST N MOORHEAD, MN",1,-96.7130189,46.9502717
"8 AVE N FARGO, ND",1,-96.80277,46.8846887
"800 10 AVE N FARGO, ND",1,-96.7909219,46.886746
"800 11 ST N FARGO, ND",1,-96.7954606,46.8846579
"800 2 AVE S FARGO, ND",1,-96.7912894,46.8724776
"800 2 ST N FARGO, ND",1,-96.7816769,46.8846659
"800 21 ST S FARGO, ND",1,-96.8136153,46.8667272
"800 37 AVE S MOORHEAD, MN",1,-96.767891,46.8367584
"800 4 ST S MOORHEAD, MN",1,-96.7736103,46.8661766
"800 5 ST S MOORHEAD, MN",1,-96.7724473,46.8661785
"800 7 AVE S MOORHEAD, MN",1,-96.7680308,46.8672209
"800 9 ST HAWLEY, MN",1,-96.3224672,46.8845065
"800 9 ST N FARGO, ND",1,-96.7924996,46.8846665
"800 KROSHUS DR DILWORTH, MN",1,-96.7133109,46.8820825
"800 WOODBRIDGE CIR DILWORTH, MN",1,-96.6929263,46.8804128
"9 1/2 ST E WEST FARGO, ND",1,-96.8819,46.8741988
"9 AVE S FARGO, ND",1,-96.8247934,46.8657835
"9 ST N FARGO, ND",1,-96.7920694,46.8994441
"900 1 ST WEST FARGO, ND",1,-96.89992,46.8679146
"900 10 ST N MOORHEAD, MN",1,-96.7643391,46.8847049
"900 11 AVE N FARGO, ND",1,-96.7926399,46.8885541
"900 14 ST N FARGO, ND",1,-96.801222,46.8858996
"900 15 ST N FARGO, ND",1,-96.8046937,46.8853983
"900 17 ST S MOORHEAD, MN",1,-96.7531677,46.8650854
"900 18 ST S MOORHEAD, MN",1,-96.7518697,46.8650636
"900 2 AVE E WEST FARGO, ND",1,-96.8818665,46.8742111
"900 2 AVE S FARGO, ND",1,-96.7928094,46.8725689
"900 25 ST N FARGO, ND",1,-96.8196778,46.8857458
"900 3 AVE E WEST FARGO, ND",1,-96.8822084,46.8735662
"900 41 AVE S MOORHEAD, MN",1,-96.7649485,46.8316093
"900 43 ST S FARGO, ND",1,-96.8537696,46.8650164
"900 5 AVE S MOORHEAD, MN",1,-96.766362,46.8693074
"900 6 AVE N MOORHEAD, MN",1,-96.7657889,46.8813698
"900 7 AVE N MOORHEAD, MN",1,-96.7658154,46.8827123
"900 8 ST N FARGO, ND",1,-96.7909219,46.8858646
"900 SHEYENNE PARK PL WEST FARGO, ND",1,-96.916234,46.8618666
"FOREST AVE N FARGO, ND",1,-96.7832223,46.9158188
"OAKPORT ST N MOORHEAD, MN",1,-96.7573367,46.9553059
"UNIVERSITY DR N FARGO, ND",1,-96.7979658,46.9091521
