"Address","Number","Lon","Lat"
"1500 11 AVE N FARGO, ND",3,-96.8046696,46.8885872
"1500 6 AVE S MOORHEAD, MN",3,-96.7559989,46.8682561
"1500 8 ST N FARGO, ND",3,-96.7906467,46.8975938
"16 AVE N FARGO, ND",3,-96.789093,46.8994407
"1600 EAST GATEWAY CIR S FARGO, ND",3,-96.8214481,46.856567
"1700 10 ST N FARGO, ND",3,-96.7935826,46.9011421
"1800 40 ST S FARGO, ND",3,-96.8470825,46.8521584
"1800 7 AVE S FARGO, ND",3,-96.810597,46.867937
"2200 11 AVE S FARGO, ND",3,-96.816054,46.8644129
"2400 3 AVE N MOORHEAD, MN",3,-96.7430277,46.8782037
"2400 36 ST S MOORHEAD, MN",3,-96.720798,46.85415
"2600 15 ST S FARGO, ND",3,-96.8031588,46.8409011
"2600 36 AVE S FARGO, ND",3,-96.8214744,46.8243297
"2900 DAKOTA PARK CIR S FARGO, ND",3,-96.8271841,46.8281968
"3400 18 ST S MOORHEAD, MN",3,-96.7498848,46.8404421
"3400 42 AVE S FARGO, ND",3,-96.8337769,46.8156683
"3500 30 AVE S FARGO, ND",3,-96.8374429,46.8369406
"400 2 AVE N FARGO, ND",3,-96.7846409,46.8779679
"4300 10 AVE S FARGO, ND",3,-96.8538118,46.8650311
"4400 47 ST S FARGO, ND",3,-96.8667474,46.8145422
"4400 9 AVENUE CIR S FARGO, ND",3,-96.8584739,46.8681151
"4700 16 AVE S FARGO, ND",3,-96.866288,46.855856
"4800 16 AVE S FARGO, ND",3,-96.8668596,46.857696
"500 12 ST N MOORHEAD, MN",3,-96.761063,46.8805756
"5200 28 AVE S FARGO, ND",3,-96.8753366,46.838748
"600 33 AVE W WEST FARGO, ND",3,-96.9127572,46.8322768
"700 10 ST N FARGO, ND",3,-96.7940018,46.8831812
"700 OAK ST N FARGO, ND",3,-96.7786539,46.8831382
"7300 57 AVE N GLYNDON, MN",3,-96.6464257,46.9343171
"800 10 ST N FARGO, ND",3,-96.7939397,46.8846663
"800 24 AVE S MOORHEAD, MN",3,-96.7680101,46.8514019
"800 41 AVE S MOORHEAD, MN",3,-96.7669444,46.8319315
"900 1 AVE N MOORHEAD, MN",3,-96.7657557,46.8763998
"0 4 ST N FARGO, ND",2,-96.7847079,46.8894539
"0 PRAIRIEWOOD DR S FARGO, ND",2,-96.8297621,46.8486071
"100 8 ST N FARGO, ND",2,-96.7928661,46.8773696
"100 MAPLE ST N FARGO, ND",2,-96.7714911,46.9163217
"100 PLEASANTVIEW AVE SW GLYNDON, MN",2,-96.5836729,46.8753195
"1000 10 ST N FARGO, ND",2,-96.7938338,46.886781
"1000 11 ST S MOORHEAD, MN",2,-96.7627715,46.8640609
"1000 15 ST N FARGO, ND",2,-96.804682,46.8869848
"1000 18 1/2 ST S MOORHEAD, MN",2,-96.7506861,46.8637929
"1000 18 ST S MOORHEAD, MN",2,-96.7519093,46.8638212
"1000 GIBRALTOR AVE N FARGO, ND",2,-96.7943851,46.9238518
"1000 MONTE CARLO DR N FARGO, ND",2,-96.7934553,46.9230874
"1100 12 ST S MOORHEAD, MN",2,-96.7612963,46.8629329
"1100 13 AVE N FARGO, ND",2,-96.7951672,46.8927699
"1100 14 ST N FARGO, ND",2,-96.8012044,46.8886332
"1100 18 ST S MOORHEAD, MN",2,-96.7519303,46.8631644
"1100 22 ST S FARGO, ND",2,-96.816048,46.8644387
"1200 1 AVE N FARGO, ND",2,-96.7973581,46.8771715
"1200 11 AVE N FARGO, ND",2,-96.7967628,46.8885464
"1200 15 AVE N MOORHEAD, MN",2,-96.76039,46.890715
"1200 34 STREET CIR S MOORHEAD, MN",2,-96.7264855,46.8621805
"1200 STARR AVE WEST FARGO, ND",2,-96.8773545,46.8734958
"1300 1 AVE S FARGO, ND",2,-96.7982719,46.8739432
"1300 34 AVE S MOORHEAD, MN",2,-96.7592245,46.8398128
"1300 36 AVE S MOORHEAD, MN",2,-96.7604994,46.8371965
"1300 BELSLY BLVD MOORHEAD, MN",2,-96.7596856,46.8419793
"1400 10 ST N FARGO, ND",2,-96.7936853,46.8952097
"1400 17 ST S FARGO, ND",2,-96.8089995,46.8595783
"1400 9 AVE S MOORHEAD, MN",2,-96.7574817,46.8651191
"1400 ALBRECHT BLVD N FARGO, ND",2,-96.8027873,46.8955799
"1400 RIVER ST WEST FARGO, ND",2,-96.9064538,46.8607857
"1500 2 AVE S FARGO, ND",2,-96.80403,46.8729354
"1500 27 AVE S FARGO, ND",2,-96.8017741,46.8391051
"1600 11 AVE N FARGO, ND",2,-96.8061779,46.8885901
"1600 11 ST N FARGO, ND",2,-96.795136,46.8994625
"1600 5 AVE S FARGO, ND",2,-96.8069152,46.8697541
"1600 7 ST S MOORHEAD, MN",2,-96.7694067,46.8585053
"1600 8 ST N FARGO, ND",2,-96.790616,46.8994564
"1700 39 ST S FARGO, ND",2,-96.8443069,46.8534845
"1800 14 ST S FARGO, ND",2,-96.8015552,46.85192
"1900 21 AVE S FARGO, ND",2,-96.8123816,46.8455588
"1900 5 AVE S MOORHEAD, MN",2,-96.7496211,46.8692984
"1900 UNIVERSITY DR N FARGO, ND",2,-96.7988552,46.9050892
"200 8 AVE W WEST FARGO, ND",2,-96.9015993,46.8688072
"2000 49 ST S FARGO, ND",2,-96.868975,46.8498444
"2000 7 ST S MOORHEAD, MN",2,-96.7694902,46.854939
"2300 17 ST S FARGO, ND",2,-96.8083998,46.8452111
"2300 20 1/2 AVE S FARGO, ND",2,-96.8145295,46.8479713
"2300 55 ST S FARGO, ND",2,-96.8779826,46.8177004
"2400 33 AVE S FARGO, ND",2,-96.8181197,46.8304783
"2400 4 AVE N MOORHEAD, MN",2,-96.7434758,46.8792566
"2400 65 AVE S FARGO, ND",2,-96.8933827,46.8119068
"2400 WEST COUNTRY CLUB DR S FARGO, ND",2,-96.7934472,46.8430808
"2500 55 ST S FARGO, ND",2,-96.8779826,46.8177004
"2500 9 ST N FARGO, ND",2,-96.7910465,46.9098844
"2500 COUNTRY CLUB PKWY MOORHEAD, MN",2,-96.7647903,46.9009414
"2600 11 ST S MOORHEAD, MN",2,-96.7627891,46.8495145
"2700 36 ST S MOORHEAD, MN",2,-96.7202566,46.8516719
"2800 23 AVE S FARGO, ND",2,-96.8239606,46.84424
"2900 80 AVE N MOORHEAD, MN",2,-96.7337069,46.7749777
"300 31 AVE N FARGO, ND",2,-96.7834388,46.9180247
"300 4 AVE N FARGO, ND",2,-96.7831673,46.8800808
"300 7 AVE S FARGO, ND",2,-96.7823899,46.8675641
"3000 10 ST N FARGO, ND",2,-96.7934245,46.9156846
"3100 8 ST N FARGO, ND",2,-96.7898127,46.9174862
"3200 9 ST W WEST FARGO, ND",2,-96.9151171,46.8335774
"3300 12 ST S MOORHEAD, MN",2,-96.7609116,46.8406713
"3300 15 AVE S FARGO, ND",2,-96.8339279,46.856935
"3300 17 ST S FARGO, ND",2,-96.8076224,46.8302352
"3300 5 ST W WEST FARGO, ND",2,-96.9077933,46.8294729
"3400 14 AVE S FARGO, ND",2,-96.8361663,46.8599335
"3500 28 ST S FARGO, ND",2,-96.8351525,46.8712541
"3500 5 ST W WEST FARGO, ND",2,-96.9075987,46.82798
"3800 RIVER DR S FARGO, ND",2,-96.8015024,46.821699
"400 11 ST N FARGO, ND",2,-96.7955331,46.8805202
